"N° de production","N° de « Classique Disney","N° de « Classique d'animation »","Titre (en France)","Date de sortie","Commentaires"
93,79,,"Winnie l'ourson et l'Éfélant","11 février 2005",
94,80,,"Tarzan 2 : L'enfance d'un héros","14 juin 2005","L'action se situe pendant celle de Tarzan (1999)"
95,81,,"Lilo et Stitch 2 : Hawaï, nous avons un problème!","15 août 2005","L'action se situe entre Lilo et Stitch (2002) et Stitch ! le film (2003)"
96,82,46,"Chicken Little","30 octobre 2005","Premier « Classique d'animation Disney » totalement en images de synthèse"
97,83,,"Kuzco 2 : King Kronk","5 décembre 2005",
98,84,,"Bambi 2","26 janvier 2006","L'action se situe pendant celle de Bambi (1942)"
99,85,,"The Wild","6 avril 2006",
100,86,,"Cars","9 juin 2006","Coproduction Pixar"
101,,,"Leroy et Stitch","23 juin 2006","Conclusion de la série télévisée Lilo et Stitch, la série (2003-2006)"
102,87,,"Frère des ours 2","17 août 2006","Suite de Frère des ours (2003)"
103,89,,"Rox et Rouky 2","7 novembre 2006","Suite de Rox et Rouky (1981)"
104,88,,"Le Sortilège de Cendrillon","6 février 2007","Suite de Cendrillon (1950) et de Cendrillon 2 : Une vie de princesse (2002)"
105,91,47,"Bienvenue chez les Robinson","23 mars 2007",
106,90,,"Ratatouille","22 juin 2007","Coproduction Pixar"
107,,,"Il était une fois","21 novembre 2007","long-métrage mélangeant animation et prises de vues réelles"
108,94,,"WALL-E","23 juin 2008","Coproduction Pixar"
109,92,,"Le Secret de la Petite Sirène","26 août 2008",
110,93,,"La Fée Clochette","11 septembre 2008",
111,95,48,"Volt, star malgré lui","21 novembre 2008",
112,97,,"Là-haut","29 mai 2009","Coproduction Pixar"
113,96,,"Clochette et la Pierre de lune","28 octobre 2009",
114,,,"Le Drôle de Noël de Scrooge","6 novembre 2009","Coproduction ImageMovers Digital"
115,98,49,"La Princesse et la Grenouille","25 décembre 2009",
116,99,,"Clochette et l'Expédition féerique","23 juillet 2010",
117,100,,"Toy Story 3","15 juin 2010","Suite de Toy Story (1995) et Toy Story 2 (1999) - Coproduction Pixar"
118,101,50,"Raiponce","24 novembre 2010",
119,,,"Milo sur Mars","9 mars 2011",
120,102,51,"Winnie l'ourson","13 avril 2011",
121,103,,"Cars 2","24 juin 2011",
122,104,,"Rebelle","18 juin 2012","Coproduction Pixar"
123,105,,"Clochette et le Secret des fées","16 août 2012",
124,,,"Frankenweenie","4 octobre 2012",
125,106,52,"Les Mondes de Ralph","1 novembre 2012",
126,107,,"Monstres Academy","20 juin 2013","Préquel de Monstres et Cie (2001) - Coproduction Pixar"
127,108,,"Planes","9 août 2013",
128,109,53,"La Reine des neiges","27 novembre 2013",
129,110,,"Clochette et la Fée pirate","1 avril 2014",
130,111,,"Planes 2","18 juillet 2014",
131,112,54,"Les Nouveaux Héros","23 octobre 2014",
132,113,,"Clochette et la Créature légendaire","12 décembre 2014",
133,114,,"Vice Versa","17 juin 2015","Coproduction Pixar"
134,115,,"Le Voyage d'Arlo","10 novembre 2015","Coproduction Pixar"
135,116,55,"Zootopie","11 février 2016",
136,117,,"Le Monde de Dory","8 juin 2016","Coproduction Pixar"
137,118,56,"Vaiana : La Légende du bout du monde","23 novembre 2016",
138,119,,"Cars 3","10 juin 2017","Suite de Cars (2006) et Cars 2 (2011) - Coproduction Pixar"
139,120,,"Coco","20 octobre 2017","Coproduction Pixar"
140,121,,"Les Indestructibles 2","5 juin 2018","Suite des Indestructibles (2004) - Coproduction Pixar"
141,122,57,"Ralph 2.0","21 novembre 2018","Suite des Mondes de Ralph (2012)"
142,123,,"Toy Story 4","19 juin 2019","Suite des trois films précédents (1995, 1999 et 2010) - Coproduction Pixar"
143,124,58,"La Reine des neiges 2","7 novembre 2019","Suite de La Reine des neiges (2013)"
